"Paper_ID","Authors_and_Year","Publication_Venue","Target_Population_and_Region","Sample_Size","Primary_Objective","Burnout_Mental_Health_Tool","Digital_Wellbeing_Passive_Indicators","Self_Reported_Survey_Indicators","ML_Algorithms_Evaluated","Best_Performing_Model_and_Metrics","XAI_Interpretability_Techniques","Personalized_Recommendations","Actionable_System_Features","Main_Strengths","Key_Limitations","Unaddressed_Research_Gaps"
"P001","Arne Bewersdorff, Marie Hornberger, Claudia Nerdel, Daniel S. Schiff (2024)","Computers and Education: Artificial Intelligence","Undergraduate and graduate university students | United States, United Kingdom, and Germany","1465","To investigate how cognitive (AI literacy), affective (AI interest, attitudes), and behavioral (use of AI) variables build AI self-efficacy among university students, and to identify distinct student profiles to guide tailored educational initiatives.","Not applicable (Focuses on psychological variables related to AI adoption: AI self-efficacy, AI literacy, Interest in AI, and General Attitudes Towards AI).","None (The study relies entirely on active, self-reported survey data).","AI self-efficacy (8-item scale), AI literacy (27 multiple-choice items + 1 sorting item), Interest in AI (5-item modified PISA scale), Positive and negative attitudes towards AI (8-item General Attitudes Towards AI scale), and Use of AI (2 items).","Gaussian Mixture Models (GMM) for unsupervised clustering (profiling students) and Path Analysis (Structural Equation Modeling - SEM) for modeling causal relationships.","A three-component ""VVE"" Gaussian Mixture Model was selected as the best fit based on Bayesian Information Criterion (BIC) and Akaike Information Criterion (AIC). For Path Analysis, the linear model showed excellent fit (e.g., CFI > 1.0, RMSEA = 0.000 for US/Total sample).","None / White-box statistical modeling (Path analysis and GMM natively provide interpretability through path coefficients and component means).","No algorithmic personalized recommendations. However, the study provides tailored educational recommendations for three identified student groups ('AI Advocates,' 'Cautious Critics,' and 'Pragmatic Observers').","Not applicable (The paper focuses on educational policy and curriculum design rather than an automated intervention system).","Large, cross-national sample (US, UK, Germany); robust combination of statistical methodologies (Path Analysis and GMM); practical identification of distinct student profiles for targeted education.","Cross-sectional design captures data at only a single point in time; sample relies on the Prolific platform which may not be fully representative of all demographics (e.g., socioeconomic status); limited exclusively to Western contexts.","Lack of research in non-Western contexts (including LMICs/Bangladesh); need for longitudinal studies to track the development of AI self-efficacy over time; no utilization of passive digital logging to measure actual AI usage; limited exploration of how socioeconomic status influences socio-cognitive relationships with AI."
"P002","Shuo Gong, Yunjing Li, Haijiang Li (2026)","Acta Psychologica","Junior and senior high school students (Adolescents) | China (Five cities: Ningbo, Xinji, Zhengzhou, Hengyang, and Jianli)","4870","To examine the multi-level ecological structure of academic burnout in adolescents by combining machine learning with network analysis, identifying key multi-ecological predictors and their structural interrelations.","Student Burnout Inventory (SBI) (adapted for Chinese adolescents, based on the Maslach Burnout Inventory–Student Survey). Depressive symptoms were measured using PHQ-9.","None used. (Digital stress measures such as social media online vigilance and smartphone withdrawal were captured entirely via self-report).","61 variables spanning individual, family, school, and digital domains. Key indicators include academic burnout, depressive symptoms (PHQ9), psychological resilience (PsyRes), subjective happiness, physical aggressive behavior, teacher-student relationships (TSRe), school belonging, academic pressure, parent-child alienation, and digital stress (social media online vigilance, smartphone withdrawal).","Logistic Regression, Naive Bayes, Support Vector Machine (SVM), Random Forest, AdaBoost, XGBoost, and LightGBM.","Support Vector Machine (SVM) with an RBF kernel achieved the best overall performance (AUC = 0.830, F1-Score = 0.750, Accuracy = 0.747).","Kernel SHAP (SHapley Additive exPlanations) was used to extract global feature importance and directional effects. RFECV (Recursive Feature Elimination with Cross-Validation) was used for feature selection, followed by Gaussian Graphical Model (GGM) network analysis to interpret the structural relationships between the selected features.","No algorithmic personalized recommendations are generated for users directly. The study offers population-level recommendations for school policy and resource allocation.","Not an actionable system. Recommends implementing a multi-tiered, school-based support framework (e.g., targeted counseling for co-occurring emotional/digital difficulties, digital literacy education, and boundary-setting guidance for those with high online vigilance).","Integration of predictive machine learning (SVM) with structural network analysis (GGM) to understand both risk factors and their interconnections; large and geographically diverse sample within China; consideration of multi-ecological factors including the digital domain.","Cross-sectional design prevents causal inferences; reliance on an abbreviated set of items for the burnout measure rather than the full scale; reliance solely on self-reported data subject to reporting bias.","Lack of multi-source and objective behavioral indicators, specifically the absence of passive digital logging to measure true digital behavior; absence of longitudinal studies to capture dynamic risk evolution; need for cross-cultural validation in other settings (e.g., other LMICs like Bangladesh, as the study focuses strictly on China)."
"P003","Seo-Jun Lee (2026)","International Journal of Psychology Research","Undergraduate university students | Busan, South Korea","412","To examine the relationship between emotional regulation strategies (e.g., cognitive reappraisal, expressive suppression, rumination) and academic burnout, and to assess the mediating role of psychological distress.","Maslach Burnout Inventory-Student Survey (MBI-SS) for burnout; Depression Anxiety Stress Scales (DASS-21) for psychological distress; Emotion Regulation Questionnaire (ERQ) and Cognitive Emotion Regulation Questionnaire (CERQ) for regulation strategies.","None used.","Emotional regulation strategies (cognitive reappraisal, expressive suppression, acceptance, problem-solving, rumination), academic burnout dimensions (emotional exhaustion, cynicism, academic efficacy), psychological distress (depression, anxiety, stress), and demographic factors (gender, age, year of study).","None (The study relies entirely on traditional inferential statistics, specifically hierarchical multiple regression and bootstrapped mediation analysis).","The final hierarchical regression model explained 35.9% of the total variance in academic burnout scores (ΔR² = 0.312 for emotion regulation strategies specifically).","None/Not Applicable (Uses traditional white-box statistical modeling, such as regression coefficients and mediation pathways).","No algorithmic personalized recommendations provided.","Not an actionable system. The paper recommends policy-level interventions such as campus-based emotional regulation training programs (focusing on cognitive reappraisal and problem-solving) and early screening at the start of each semester.","Expands beyond the classic reappraisal-suppression dichotomy by including multiple regulation strategies; uses mediation analysis to explain the mechanism via psychological distress; provides empirical evidence from a collectivist cultural context.","Cross-sectional design prevents causal interpretation; sample drawn from a single metropolitan university limits generalizability; exclusive reliance on self-report surveys introduces potential shared-method variance bias.","No integration of behavioral or physiological indicators (specifically lacking passive digital logging); absence of longitudinal or experience-sampling designs to track temporal ordering; lacks representation of other non-Western contexts such as LMICs (e.g., Bangladesh)."
"P004","Alireza Dehghan, Negin Ashrafi (2026)","arXiv (Preprint / Submitted Manuscript)","Medical and non-medical university students | Lausanne, Switzerland","886 (Primary cohort, 2022) validated against 2,580 longitudinal observations and 701 non-medical students.","To audit construct overlap in explainable machine learning (XML) pipelines applied to burnout-depression prediction, demonstrating that apparent cross-population stability in XAI risk hierarchies is largely a psychometric artefact rather than a learned generalisable risk structure.","Maslach Burnout Inventory–Student Survey (MBI-SS) for burnout; Center for Epidemiological Studies Depression Scale (CES-D) for depression; State-Trait Anxiety Inventory (STAI-T) for trait anxiety.","None used.","10 demographic and psychological predictors including trait anxiety (STAI-T), health satisfaction, age, academic year, psychotherapy history, partnership status, employment status, weekly study hours, mother tongue, and sex.","Ordinary Least Squares (OLS), Ridge, Lasso, ElasticNet, Support Vector Regression (SVR), and Artificial Neural Networks (ANN).","ElasticNet (L1+L2 regularisation) was selected as the primary model, achieving an R² of 0.414 and MAE of 9.26 on the primary test set.","SHAP (SHapley Additive exPlanations) via LinearExplainer. Crucially, the study introduces a novel ""residualization protocol"" to audit SHAP results for construct overlap (i.e., isolating shared variance between correlated variables via regression).","No algorithmic personalized recommendations are generated.","Not an actionable intervention system. The study strictly concludes that individual-level clinical prediction is currently not actionable using these feature sets due to high uncertainty (conformal prediction intervals averaged 35.4 units on a 100-point scale). It recommends researchers mandate orthogonality checks (residualization) before interpreting feature hierarchies.","Exposes a critical methodological flaw in XAI mental health research (construct overlap); introduces a robust, mathematically sound residualization protocol; leverages comprehensive multi-cohort validation (longitudinal and cross-faculty).","Data strictly from a single institution (University of Lausanne) limits cross-institutional generalisability; the composite outcome index (BDCI) lacks independent psychometric validation; does not incorporate potentially critical predictors like financial stress or sleep quality.","Complete absence of physiological data or ecological momentary assessment (passive digital logging); lack of prospective designs testing cross-institutional variations; no exploration of diverse demographics or non-Western/LMIC contexts (e.g., Bangladesh)."
"P005","Daniel Cristóbal Andrade-Girón, William Joel Marin-Rodriguez, Marcelo Gumercindo Zuñiga-Rojas, Abrahan Cesar Neri-Ayala, Edgar Tito Susanibar-Ramírez, Miguel Angel Aguilar-Luna-Victoria (2026)","AI (MDPI)","University students | Dharan, Nepal","1100","To develop, compare, and validate multiple ensemble machine learning models for multiclass prediction of student stress, utilizing a rigorous evaluation framework and explainable AI (XAI) analysis.","Public ""Student Stress Factors"" dataset (Kaggle), which aggregates responses to classify a target variable (stress_level) into three ordinal categories: low, medium, and high.","None used.","20 predictor variables across psychological, physiological, social, environmental, and academic domains (e.g., sleep quality, blood pressure, social support, self-esteem, depression, anxiety level, living conditions, headache, extracurricular activities, bullying, academic performance, basic needs, noise level).","Nine ensemble and boosting algorithms for tabular data: AdaBoost, Gradient Boosting, Random Forest, Extra Trees, Bagging, Voting, Stacking, XGBoost, and LightGBM.","Gradient Boosting achieved the highest average performance in nested cross-validation (Accuracy: 89.55%, F1-weighted: 89.54%, MCC: 0.845, ROC-AUC weighted: 98.59%). Independent holdout accuracy was 0.8818. (Note: XGBoost and LightGBM showed comparable, statistically equivalent performance).","SHAP (SHapley Additive exPlanations) for global beeswarm and local waterfall decomposition; LIME (Local Interpretable Model-agnostic Explanations) for localized probabilistic prediction analysis.","No algorithmic personalized recommendations.","Not an actionable system. The findings act as a guide for psychoeducational interventions (e.g., sleep hygiene programs, personalized tutoring, academic support), but the authors emphasize that the model requires prospective validation before integration into institutional early warning systems.","Highly rigorous machine learning pipeline utilizing nested cross-validation, probabilistic calibration, and nonparametric statistical testing (Friedman test); comprehensive multi-criteria comparison of ensemble families; robust integration of both global and local XAI tools (SHAP and LIME).","Cross-sectional, observational dataset limits causal inference; treatment of ordinal stress levels as nominal classes ignores proximity information between levels; relies entirely on a single public dataset from one university, limiting generalizability.","Although the study targets an LMIC (Nepal), it lacks external validation across other socio-cultural contexts (e.g., Bangladesh) to prove model transferability; relies exclusively on self-reported survey data without multimodal or objective physiological/behavioral sources (e.g., passive digital logging); lacks longitudinal monitoring to track the incidence of stress over time."
"P006","Saima Alam, Mohammad Arif Ul Alam (2026)","JMIR AI","Internal medicine resident physicians | United States (Massachusetts)","28 (primary clinical dataset); also evaluated on public datasets WESAD (n=15) and SWELL-KW (n=25).","To develop and validate EMBRACE, an explainable multitask deep learning framework that predicts and explains future burnout in resident physicians using wearable sensor data and automatic clinical survey completion.","Mini-Z Burnout Survey (a clinically validated 10-item tool assessing burnout, stress, and job satisfaction).","Continuous wearable physiological data (heart rate variability, skin conductance/EDA, skin temperature, and 3-axis accelerometry) collected via the Empatica E4 wristband. Workplace behavioral metrics such as sedentary activity duration, time spent on EMR (Electronic Medical Records), and interruption frequency.","Mini-Z survey responses (perceived stress, control over workload, EMR stress, job satisfaction) and self-reported sleep quality.","Adaptive Multitask Deep Learning (CNN + LSTM architecture) using Model-Agnostic Meta-Learning (MAML) for few-shot domain adaptation. Baselines included Bi-LSTM, Random Forest, Learning Vector Quantization, Gaussian Mixture Models, and Decision Trees.","EMBRACE (Adaptive Multitask Deep Learning) outperformed baselines. On the primary clinical dataset for burnout prediction, it achieved 94.7% Accuracy, 94.7% Precision, 94.7% Recall, and 95.1% F1-score.","SHAP (Shapley Additive Explanations). SHAP values were used to generate clinical visualizations, including feature importance plots and time-series summaries mapping daily activities to predicted stress levels.","Yes. The EMBRACE framework automatically sends an end-of-day email to the resident. This email includes a personalized visual breakdown of their daily workload, burnout predictions, and specific recommendations to mitigate future burnout risks based on their unique SHAP feature importance (e.g., reducing EMR time or managing interruptions).","Automated end-of-day email alerts, automated completion of the Mini-Z survey to save time, visual daily stress/activity summaries, and a web-based feedback loop for residents/clinicians to validate the model's predictions.","Highly innovative integration of passive physiological sensors with multitask deep learning to predict both burnout states and auto-complete clinical surveys; strong focus on clinical trustworthiness via SHAP-based email interventions; validated on both real-world clinical and public datasets.","Very small primary clinical sample size (n=28); short data collection window (2 to 7 days per participant); study conducted at a single US hospital, limiting broad generalizability.","Absence of long-term longitudinal studies to evaluate if the email-based interventions actually reduce burnout over months/years; lack of validation in diverse or resource-constrained global health systems (such as LMICs/Bangladesh); potential to include deeper social interaction metrics."
"P007","Willian Sierra Barón, Andrés Gómez Acosta, Laura Natalia Calceto Garavito, Hernán David Romero Reyes, Juan David Salazar Salamanca (2025)","Revista Informes Psicológicos","Undergraduate psychology university students | Colombia (Andean and Amazonian regions)","282","To determine the psychometric properties (validity and reliability) of the Maslach Burnout Inventory-Student Survey (MBI-SS) in university students from southern Colombia, an area characterized by rurality, socioeconomic precariousness, and armed conflict.","Maslach Burnout Inventory-Student Survey (MBI-SS). The Utrecht Work Engagement Scale-Student Version (UWES-S) was also utilized to assess concurrent and discriminant validity.","None used.","Sociodemographic questionnaire (gender, faculty, period of study, socioeconomic level, marital status), MBI-SS dimensions (exhaustion, cynicism, academic efficacy), and UWES-S dimensions (vigor, dedication, absorption).","None. The study strictly employs traditional psychometric validation methods, specifically exploratory factor analysis and confirmatory factor analysis via Structural Equation Modeling (SEM).","A 14-item structural equation model (excluding item 15) demonstrated the best fit, explaining 74.76% of the cumulative variance with adequate goodness-of-fit indicators (CFI > .90, RMSEA < .100) and high internal consistency (McDonald's ω = .83).","None / Not Applicable (Relies on traditional white-box psychometric statistics and structural equation modeling).","No algorithmic personalized recommendations are provided.","Not an actionable technological system. The study recommends using the validated MBI-SS tool to systematically monitor burnout, identify risk profiles in public institutions, and guide the implementation of curricular strategies, tutoring, and mental health services tailored to specific territorial/regional conditions.","Expands burnout research to a historically under-researched, vulnerable region in Latin America (southern Colombia); utilizes robust psychometric validation techniques including gender invariance testing; highlights the impact of socio-educational contexts on burnout.","Cross-sectional design; purposive/convenience sampling; restricted to undergraduate psychology students, which limits generalizability to other academic disciplines or populations.","Complete reliance on traditional self-reported surveys with no integration of objective, passive digital logging or behavioral markers; absence of predictive machine learning frameworks to anticipate burnout before it occurs; need for broader longitudinal studies in diverse LMIC contexts outside of Latin America (e.g., Bangladesh)."
"P008","Liang Zhe Chong, Lee Kien Foo, Sook-Ling Chua (2025)","Behavioral Sciences (MDPI)","Systematic review covering various student populations (Primary, Secondary/High School, and University students) | Global (Multiple countries reviewed)","38 studies included in the systematic review.","To systematically review recent literature (2019–2024) investigating the diverse factors contributing to burnout across different student populations and to summarize mitigation strategies.","The review found that the Maslach Burnout Inventory (MBI) was the most widely used tool (18 papers), followed by the School Burnout Inventory (SBI) (6 papers). Other tools included the Copenhagen Burnout Inventory, Burnout Assessment Tool, and Oldenburg Burnout Inventory.","None utilized directly (this is a literature review). However, the review identifies ""problematic internet use"" and ""excessive use of digital teaching technologies"" as key risk factors, which were uniformly measured via self-reports in the underlying studies rather than passive logging.","The review synthesizes predictors into three categories: Environmental Factors (school environment, impact of digital technologies, social/family support), Psychosocial Factors (psychosocial competencies like grit and emotional regulation, coping strategies), and Other Factors (academic performance, demographics, lifestyle choices like sleep and exercise).","None. The review notes that the field overwhelmingly relies on traditional statistical methods, primarily Structural Equation Modeling (SEM) (13 papers), Linear Regression (10 papers), Logistic Regression (5 papers), and Latent Profile Analysis (4 papers).","Not applicable (Systematic Review of statistical studies).","None / Not Applicable.","No algorithmic recommendations provided.","Not an actionable technological system. The review recommends policy-level interventions: fostering supportive school environments, teaching healthy internet habits to mitigate digital isolation, building psychosocial competencies (e.g., emotional regulation), and promoting adaptive coping strategies.","Provides a highly comprehensive global synthesis of risk and protective factors for student burnout across all educational levels; clearly categorizes variables into environmental, psychosocial, and demographic domains.","Limited to articles published between 2019 and 2024; the review's findings are constrained by the methodologies of the primary studies, the vast majority of which are cross-sectional rather than longitudinal.","The review starkly highlights a methodological gap across the field: the complete reliance on self-report questionnaires (like the MBI) rather than objective behavioral data such as passive digital logging. Furthermore, the absence of predictive Machine Learning (ML) models and explainable AI (XAI) frameworks in the reviewed literature points to a significant gap in creating proactive, technology-driven early warning systems for students."
"P009","M. Graça Pereira, Martim Santos, Renata Magalhães, Cláudia Rodrigues, Odete Araújo, Dalila Durães (2025)","Behavioral Sciences (MDPI)","Undergraduate and graduate psychology students | Northern Portugal","274","To analyze the relationship between psychological and lifestyle variables and academic burnout, and to identify distinct burnout risk profiles among psychology students using machine learning algorithms.","Maslach Burnout Inventory—Student Survey (MBI-SS).","None utilized.","Psychological well-being (QGBEP), psychological distress (DASS21), difficulties in emotional regulation (DERS), sleep quality (PSQI), physical activity (IPAQ), and dietary inflammatory index (DII) derived from a Food Frequency Questionnaire.","K-means clustering (for initial risk profiling), Random Forest, XGBoost, and Support Vector Machine (SVM) (for supervised classification of the profiles).","XGBoost achieved the best overall performance with 97.53% Accuracy, 94.73% F1-score, 90.00% Precision, and 99.99% Recall.","None / Black-box. (While K-means was used to establish descriptive cutoffs for profiles, no formal explainable AI techniques like SHAP or LIME were applied to interpret the supervised ML models).","No algorithmic personalized recommendations were generated.","Not an actionable technological system. The study advocates for a ""stepped-care approach"" at the institutional level, using the identified variable cutoffs for early screening and implementing psychoeducational programs targeting emotional regulation and healthy lifestyle habits (sleep, anti-inflammatory diet).","Extends beyond standard psychological variables by integrating detailed lifestyle factors (specifically the dietary inflammatory index); uses a combination of unsupervised (K-means) and supervised ML to establish data-driven risk profiles.","Cross-sectional design prevents causal conclusions (e.g., potential bidirectional relationship between emotional regulation and burnout); small sample size restricted solely to psychology students from a single Portuguese university limits generalizability.","Complete reliance on self-reported surveys without any objective physiological metrics or passive digital logging (e.g., objective sleep tracking or physical activity logging); lack of longitudinal validation; absence of XAI methods to transparently interpret the ML models; lack of validation in non-Western or LMIC settings (e.g., Bangladesh)."
"P010","Hanif Abdul Rahman, Madeline Kwicklis, Mohammad Ottom, Areekul Amornsriwatanakul, Khadizah H. Abdul-Mumin, Michael Rosenberg, Ivo D. Dinov (2023)","Bioengineering (MDPI)","University students | Southeast Asia (ASEAN countries: Brunei Darussalam, Indonesia, Malaysia, Philippines, Singapore, Thailand, and Vietnam)","15,366","To predict and classify negative mental well-being among university students using machine learning models based on self-reported health-risk behaviors and demographic indicators.","A multi-site online cross-sectional survey categorizing mental well-being into a binary outcome (positive or negative/poor) alongside non-communicable disease risk factors.","None used.","20 features including health-risk behaviors (number of sports activities per week, sedentary hours, hours of sleep, fruit/vegetable intake, salt intake, eating snacks/fast food, sugar beverages, alcohol consumption, smoking) and demographic/academic variables (body mass index [BMI], age, gender, grade point average [GPA], living arrangement).","Generalized Linear Model (Logistic Regression), k-Nearest Neighbor (kNN), Naïve Bayes, Neural Networks, Random Forest, Recursive Partitioning (RPART), Bagging, and Adaptive Boosting.","Random Forest achieved the highest overall performance with an Accuracy of 0.901, Kappa of 0.801, Sensitivity of 0.980, Specificity of 0.815, and AUC of 0.966.","Global Feature Importance (Variable importance was evaluated using Mean Decrease in Accuracy and Mean Decrease in Gini Index). No localized XAI tools like SHAP or LIME were used.","No algorithmic personalized recommendations were provided directly to students.","Not an actionable technological system. However, the study proposes policy-level system features: establishing a central data analytics hub for the ASEAN University Network (AUN), utilizing mHealth apps to rapidly collect the top 5 salient features (BMI, sports, GPA, sedentary hours, age) to shorten survey times, and creating a digital dashboard for active monitoring by university stakeholders.","Exceptionally large, multi-national sample size representing the Southeast Asian (ASEAN) region; robust comparison of multiple machine learning classifiers; successfully identifies a concise, practical set of easily measurable behavioral features to predict mental well-being.","Cross-sectional design prevents causal inferences; relies entirely on self-reported survey data, making it vulnerable to reporting bias; binary classification of mental well-being may oversimplify complex psychological states.","Total absence of objective, passive digital logging or continuous physiological data (the authors explicitly suggest future models incorporate biofeedback such as EEG, ECG, and heart rate); lack of individualized explainable AI (XAI) techniques to provide transparent local predictions; need for longitudinal data to track mental health trajectories."
